"date","no2Max","no2RatioMax"
2015-12-31,35,4.30357142857143
2016-01-01,107,-0.0751146379076157
2016-01-02,28,1.50316832626614
2016-01-03,74,-0.748360319737651
2016-01-04,46,-0.654385964912281
2016-01-05,31,1.28375233836748
2016-01-06,45,4.03361344537815
2016-01-07,74,1.96256479838569
2016-01-08,8,4.05169854531575
2016-01-09,72,1.12327799364182
2016-01-10,52,1.79598609355246
2016-01-11,74,4.12758154796371
2016-01-12,59,5.44897959183673
2016-01-13,59,2.52361673414305
2016-01-14,40,7.31960784313725
2016-01-15,57,2.91643402196166
2016-01-16,46,1.14542308151331
2016-01-17,52,2.18051769202664
2016-01-18,37,3.44288793103448
2016-01-19,39,3.17542721176725
2016-01-20,39,0.943580399557493
2016-01-21,66,1.62341362341362
2016-01-22,30,2.35350947200403
2016-01-23,53,9.75593220338983
2016-01-24,30,2.98522167487685
2016-01-25,105,5.0095785440613
2016-01-26,89,3.68125701459035
2016-01-27,88,4.32897603485839
2016-01-28,73,1.7857935627081
2016-01-29,66,0.937820666768552
2016-01-30,98,1.59896283491789
2016-01-31,65,-0.700757575757576
2016-02-01,49,5.2013916767028
2016-02-02,47,9.32967032967033
2016-02-03,29,3.00513698630137
2016-02-04,106,2.36735154662452
2016-02-05,98,3.54244229337305
2016-02-06,78,6.11565739225314
2016-02-07,77,1.33659003831418
2016-02-08,80,1.24242424242424
2016-02-09,53,2.07780725022104
2016-02-10,48,0.871794871794871
2016-02-11,67,3.38545454545455
2016-02-12,83,1.41983122362869
2016-02-13,26,3.76422526991538
2016-02-14,53,2.29409685401202
2016-02-15,18,4.20724486241728
2016-02-16,62,9.77767796990793
2016-02-17,39,8.68075385494003
2016-02-18,42,3.35518072289157
2016-02-19,57,0.245251705697953
2016-02-20,58,7.13768115942029
2016-02-21,61,-0.934343434343434
2016-02-22,40,2.56131192750911
2016-02-23,39,5.18916980455442
2016-02-24,44,6.61908185272671
2016-02-25,55,6.36363636363636
2016-02-26,101,8.38297872340426
2016-02-27,55,0.935028878808161
2016-02-28,2,-0.0988686669945897
2016-02-29,21,0.660699919549478
2016-03-01,73,-0.591851071303125
2016-03-02,78,2.02237172732431
2016-03-03,27,1.12452276064611
2016-03-04,24,9.10131939258153
2016-03-05,20,5.09171116786626
2016-03-06,38,1.76228958450154
2016-03-07,43,2.30945866718781
2016-03-08,90,3.47739458049558
2016-03-09,33,2.56829007485175
2016-03-10,33,1.49378881987578
2016-03-11,41,4.31707317073171
2016-03-12,98,3.53846153846154
2016-03-13,144,-0.371761417057584
2016-03-14,37,2.77880158597197
2016-03-15,87,-0.657142857142857
2016-03-16,46,0.518739141226111
2016-03-17,72,-0.099624367140291
2016-03-18,69,0.345492143244952
2016-03-19,96,0.134041576496819
2016-03-20,34,0.679270915883619
2016-03-21,45,0.301320528211285
2016-03-22,53,0.272243009603156
2016-03-23,41,2.31264057579847
2016-03-24,38,0.611420664896601
2016-03-25,32,1.3
2016-03-26,44,3.20160093299406
2016-03-27,64,1.26623376623377
2016-03-28,76,-1.11523611523612
2016-03-29,90,0.0422523213220889
2016-03-30,110,1.80855667036266
2016-03-31,55,2.2805659318327
2016-04-01,26,2.35140112667919
2016-04-02,17,9.95785440613027
2016-04-03,59,2.72946859903382
2016-04-04,62,1.2160376755386
2016-04-05,34,4.05510052122115
2016-04-06,23,6.0269112330968
2016-04-07,51,4.97929706307174
2016-04-08,100,4.92784380305603
2016-04-09,104,5.75324675324675
2016-04-10,83,6.59979736575481
2016-04-11,36,13.5488721804511
2016-04-12,42,1.30288882404435
2016-04-13,49,4.19151376146789
2016-04-14,56,1.11223020509262
2016-04-15,41,3.39285714285714
2016-04-16,76,2.87533945428682
2016-04-17,34,2.67435116717413
2016-04-18,28,1.87240413406742
2016-04-19,42,0.93226137529935
2016-04-20,30,3.56140091621102
2016-04-21,70,2.59266720386785
2016-04-22,47,1.73992673992674
2016-04-23,30,3.05589519650655
2016-04-24,53,4.2002024291498
2016-04-25,50,2.30964549627267
2016-04-26,32,3.40909090909091
2016-04-27,41,1.71438765498171
2016-04-28,21,3.28253561001504
2016-04-29,48,0.727950310559007
2016-04-30,75,-0.258564964447317
2016-05-01,57,2.81818181818182
2016-05-02,75,0.714285714285715
2016-05-03,39,1.8475073313783
2016-05-04,25,3.79340892983699
2016-05-05,37,2.89268292682927
2016-05-06,53,2.16205533596838
2016-05-07,99,3.90681003584229
2016-05-08,58,1.4186322755812
2016-05-09,36,1.59835367584445
2016-05-10,21,1.43092105263158
2016-05-11,24,5.81598630260431
2016-05-12,51,1.24118422072386
2016-05-13,39,0.27414194299011
2016-05-14,32,1.41292735042735
2016-05-15,74,3.72371213582867
2016-05-16,37,9.3758344459279
2016-05-17,39,0.814814814814814
2016-05-18,45,1.26096737907762
2016-05-19,22,1.11972103835723
2016-05-20,56,1.00972540045767
2016-05-21,102,2.97996976568405
2016-05-22,57,2.80045351473923
2016-05-23,NA,NA
2016-05-24,NA,NA
2016-05-25,31,1.41428664793151
2016-05-26,35,2.43659420289855
2016-05-27,39,0.984941438929169
2016-05-28,35,6.7490456098051
2016-05-29,73,3.20175438596491
2016-05-30,89,5.10642491131257
2016-05-31,48,2.63157894736842
2016-06-01,40.18,1.43048690599925
2016-06-02,46.49,4.24786610622457
2016-06-03,54.15,5.86863698089373
2016-06-04,91.27,4.74460547156227
2016-06-05,109.05,1.74245882870958
2016-06-06,32.33,1.53609976400267
2016-06-07,39.03,1.70204246379724
2016-06-08,31.95,6.07932398506438
2016-06-09,23.92,1.16500563350388
2016-06-10,49.75,1.41525100645717
2016-06-11,36.74,5.05876589284296
2016-06-12,43.05,3.66836315375217
2016-06-13,36.54,5.70109192767063
2016-06-14,57.21,4.84811723615877
2016-06-15,58.35,15.9771866402826
2016-06-16,42.47,3.93661915485451
2016-06-17,54.15,4.28367293088857
2016-06-18,90.11,1.44492677597849
2016-06-19,39.03,1.59008257893688
2016-06-20,94.13,1.50618473985267
2016-06-21,50.7,1.24332299888776
2016-06-22,37.69,2.94762231922912
2016-06-23,71.75,2.43600916575982
2016-06-24,58.55,3.38196061828581
2016-06-25,153.44,2.44899031239542
2016-06-26,46.49,3.85209804333907
2016-06-27,13.97,2.15391584226854
2016-06-28,44.58,7.11634484961517
2016-06-29,36.16,3.82914921270968
2016-06-30,68.3,3.37194302742066
2016-07-01,42.28,15.1779360757683
2016-07-02,59.31,3.12938635649927
2016-07-03,32.91,1.21329635626614
2016-07-04,22.76,3.05240799465482
2016-07-05,20.66,2.08665650647776
2016-07-06,30.23,0.516700419462044
2016-07-07,62.94,-0.226859932984997
2016-07-08,163.39,-0.741052922812982
2016-07-09,125.13,1.38560272994779
2016-07-10,94.33,2.86383434844478
2016-07-11,52.04,1.53858895393644
2016-07-12,48.98,1.27437878787529
2016-07-13,33.1,0.980022922632104
2016-07-14,43.24,0.214205734697579
2016-07-15,54.72,9.7786151404838
2016-07-16,44.19,-0.0530902380244154
2016-07-17,97,0.740267701844637
2016-07-18,75.19,1.58435568551259
2016-07-19,54.34,0.503354563580646
2016-07-20,34.05,3.34665340457153
2016-07-21,57.01,0.739325363785041
2016-07-22,25.83,3.08109223897111
2016-07-23,96.62,0.566234123415422
2016-07-24,66.96,0.264203425496149
2016-07-25,47.64,3.30266994603049
2016-07-26,18.94,1.00959246331483
2016-07-27,41.33,3.89301716321932
2016-07-28,76.73,2.80959238269721
2016-07-29,63.71,2.53608408845426
2016-07-30,66.2,0.726568613688725
2016-07-31,43.43,2.71960502952471
2016-08-01,83.41,0.609474490932743
2016-08-02,43.24,10.9849970291147
2016-08-03,29.47,0.587065931084658
2016-08-04,16.84,1.50614663030108
2016-08-05,51.09,0.987710489898428
2016-08-06,82.85,3.01482303092812
2016-08-07,102.17,2.59854223348536
2016-08-08,49.17,1.54854673218789
2016-08-09,29.46,4.36018708490547
2016-08-10,28.89,2.57490160973689
2016-08-11,19.14,2.18001260165327
2016-08-12,54.14,1.92032783260511
2016-08-13,34.63,5.51353978622456
2016-08-14,39.6,1.05707165438545
2016-08-15,22.96,2.08837814548381
2016-08-16,36.36,3.02623659645042
2016-08-17,24.3,1.94793824222804
2016-08-18,38.27,2.522135397062
2016-08-19,47.45,8.46975290336084
2016-08-20,30.99,1.12048225198883
2016-08-21,67.15,1.90615436107526
2016-08-22,28.32,2.24692693879007
2016-08-23,60.46,2.31155833077623
2016-08-24,45.35,2.1761311637972
2016-08-25,31.19,4.96714756004439
2016-08-26,63.52,1.27297873490294
2016-08-27,41.71,4.39761709163575
2016-08-28,48.41,4.20180864574849
2016-08-29,46.3,3.22147285756089
2016-08-30,131.83,0.433691101830857
2016-08-31,53.58,4.07353627629328
2016-09-01,58.16,0.275061897210354
2016-09-02,54.72,0.0818411898795315
2016-09-03,123.79,1.77196016921732
2016-09-04,41.71,-1.0891296408421
2016-09-05,47.26,0.992343868926504
2016-09-06,58.54,0.477957645257098
2016-09-07,66.39,4.04392348590548
2016-09-08,NA,NA
2016-09-09,NA,NA
2016-09-10,NA,NA
2016-09-11,NA,NA
2016-09-12,NA,NA
2016-09-13,NA,NA
2016-09-14,183.86,1.77143696995979
2016-09-15,137.56,3.58641572133566
2016-09-16,56.44,2.02266272582055
2016-09-17,98.34,1.93528505032317
2016-09-18,105.42,1.76904197881085
2016-09-19,36.16,2.69494245764404
