"date","no2Max","no2Avg"
2016-07-27,41.33,5.8895652173913
2016-07-28,76.73,19.6795238095238
2016-07-29,63.71,5.62952380952381
2016-07-30,66.2,12.7140909090909
2016-07-31,43.43,4.025
2016-08-01,83.41,8.84
2016-08-02,43.24,3.54625
2016-08-03,29.47,7.92375
2016-08-04,16.84,-1.1895652173913
2016-08-05,51.09,6.04958333333333
2016-08-06,82.85,18.4333333333333
2016-08-07,102.17,28.3091666666667
2016-08-08,49.17,9.73333333333333
2016-08-09,29.46,8.43458333333334
2016-08-10,28.89,-0.245
2016-08-11,19.14,-5.295
2016-08-12,54.14,11.014347826087
2016-08-13,34.63,-3.23666666666667
2016-08-14,39.6,11.4360869565217
2016-08-15,22.96,3.84166666666667
2016-08-16,36.36,1.06875
2016-08-17,24.3,7.59583333333333
2016-08-18,38.27,10.9886956521739
2016-08-19,47.45,10.8891304347826
2016-08-20,30.99,11.3604166666667
2016-08-21,67.15,17.4908333333333
2016-08-22,28.32,2.3125
2016-08-23,60.46,8.21916666666667
2016-08-24,45.35,2.23913043478261
2016-08-25,31.19,-2.58458333333334
2016-08-26,63.52,25.8608333333333
2016-08-27,41.71,2.24791666666667
2016-08-28,48.41,12.7470833333333
2016-08-29,46.3,9.86125
2016-08-30,131.83,38.4252173913044
2016-08-31,53.58,16.59125
2016-09-01,58.16,19.9233333333333
2016-09-02,54.72,27.1375
2016-09-03,123.79,32.7091666666667
2016-09-04,41.71,25.90125
2016-09-05,47.26,18.2533333333333
2016-09-06,58.54,18.5416666666667
2016-09-07,66.39,14.9076923076923
2016-09-08,NA,NA
2016-09-09,NA,NA
2016-09-10,NA,NA
2016-09-11,NA,NA
2016-09-12,NA,NA
2016-09-13,NA,NA
2016-09-14,183.86,42.6816666666667
2016-09-15,137.56,30.2370833333333
2016-09-16,56.44,18.2554166666667
2016-09-17,98.34,21.2441666666667
2016-09-18,105.42,27.605
2016-09-19,36.16,15.5758333333333
